player_name,slug,team,profile_id,headshot_id,image_filename,image_url,status
Tom Banton,tom-banton,gujarat-titans,3770,530,tom-banton_530.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/530.png,downloaded
Travis Head,travis-head,sunrisers-hyderabad,1020,37,travis-head_37.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/37.png,downloaded
Trent Boult,trent-boult,mumbai-indians,969,66,trent-boult_66.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/66.png,downloaded
Tripurana Vijay,tripurana-vijay,delhi-capitals,22252,3563,tripurana-vijay_3563.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3563.png,downloaded
Tristan Stubbs,tristan-stubbs,delhi-capitals,20631,1017,tristan-stubbs_1017.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1017.png,downloaded
Tushar Deshpande,tushar-deshpande,rajasthan-royals,3257,539,tushar-deshpande_539.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/539.png,downloaded
Umran Malik,umran-malik,kolkata-knight-riders,15154,637,umran-malik_637.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/637.png,downloaded
Urvil Patel,urvil-patel,chennai-super-kings,5653,1486,urvil-patel_1486.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1486.png,downloaded
V Satyanarayana Penmetsa,v-satyanarayana-penmetsa,,22161,3568,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3568.png,linked
Vaibhav Arora,vaibhav-arora,kolkata-knight-riders,14859,583,vaibhav-arora_583.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/583.png,downloaded
Vaibhav Sooryavanshi,vaibhav-sooryavanshi,rajasthan-royals,22203,3498,vaibhav-sooryavanshi_3498.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3498.png,downloaded
Vaibhav Suryavanshi,vaibhav-suryavanshi,,22203,3498,vaibhav-sooryavanshi_3498.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3498.png,downloaded
Vansh Bedi,vansh-bedi,,22006,3558,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3558.png,linked
Varun Chakaravarthy,varun-chakaravarthy,kolkata-knight-riders,5432,140,varun-chakaravarthy_140.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/140.png,downloaded
Varun Chakroborty,varun-chakaravarthy,kolkata-knight-riders,5432,140,varun-chakaravarthy_140.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/140.png,alias
Venkatesh Iyer,venkatesh-iyer,royal-challengers-bengaluru,8540,584,venkatesh-iyer_584.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/584.png,downloaded
Venketesh Iyer,venkatesh-iyer,royal-challengers-bengaluru,8540,584,venkatesh-iyer_584.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/584.png,alias
Vicky Ostwal,vicky-ostwal,royal-challengers-bengaluru,20624,786,vicky-ostwal_786.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/786.png,downloaded
Vignesh Puthur,vignesh-puthur,rajasthan-royals,22266,3566,vignesh-puthur_3566.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3566.png,downloaded
Vihaan Malhotra,vihaan-malhotra,royal-challengers-bengaluru,23150,4012,vihaan-malhotra_4012.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4012.png,downloaded
Vijay Kumar Vyashak,vyshak-vijaykumar,punjab-kings,1097,2034,vyshak-vijaykumar_2034.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2034.png,alias
Vijay Shankar,vijay-shankar,,1083,61,,https://documents.iplt20.com/ipl/IPLHeadshot2025/61.png,linked
Vipraj Nigam,vipraj-nigam,delhi-capitals,22053,3560,vipraj-nigam_3560.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3560.png,downloaded
Virat Kohli,virat-kohli,royal-challengers-bengaluru,164,2,virat-kohli_2.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2.png,downloaded
Virender Sehwag,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Virender_Sehwag_at_the_NDTV_Marks_for_Sports_event_13.jpg/330px-Virender_Sehwag_at_the_NDTV_Marks_for_Sports_event_13.jpg,manual
Vishal Nishad,vishal-nishad,punjab-kings,23088,4547,vishal-nishad_4547.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4547.png,downloaded
Vishnu Vinod,vishnu-vinod,punjab-kings,4305,581,vishnu-vinod_581.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/581.png,downloaded
Vyshak Vijaykumar,vyshak-vijaykumar,punjab-kings,1097,2034,vyshak-vijaykumar_2034.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2034.png,downloaded
Wanindu Hasaranga,wanindu-hasaranga,,3082,377,,https://documents.iplt20.com/ipl/IPLHeadshot2026/377.png,linked
Washington Sundar,washington-sundar,gujarat-titans,2973,20,washington-sundar_20.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/20.png,downloaded
Wiaan Mulder,wiaan-mulder,,22376,630,,https://documents.iplt20.com/ipl/IPLHeadshot2025/630.png,linked
Will Jacks,will-jacks,mumbai-indians,5629,1941,will-jacks_1941.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1941.png,downloaded
